MKOA WA SIMIYU,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Isageng'he,133,Isageng'he Magharibi,,1.4,1,,,3.0,2.0,5.0,57,5,62
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Isageng'he,134,Nyagato,,2.1,1,,,3.0,2.0,5.0,80,5,85
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Isageng'he,135,Jilengela,,2.0,1,,,4.0,2.0,6.0,120,6,126
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Nyashimba,136,Suligi,,0.0,,1,,4.0,2.0,6.0,85,3,88
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Nyashimba,137,Migumo,,1.5,1,,,4.0,2.0,6.0,92,4,96
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Nyashimba,138,Bashishida,,4.1,1,,,3.0,2.0,5.0,44,3,47
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Nyashimba,139,Lulushi,,2.6,1,,,3.0,2.0,5.0,64,4,68
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Mwabayanda,140,Itale,,1.5,1,,,3.0,2.0,5.0,50,5,55
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Mwabayanda,141,Lunele,,1.9,1,,,4.0,2.0,6.0,70,5,75
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Mwabayanda,142,Busununha,,1.1,1,,,3.0,2.0,5.0,40,5,45
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Igongwa,143,Iduku,,1.5,,1,,4.0,2.0,6.0,96,6,102
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Ng'wigwa,Igongwa,144,Ntangala,,0.0,1,,,4.0,2.0,6.0,82,4,86
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Nguliguli,145,Malangale,,0.0,1,,,4.0,2.0,6.0,125,4,129
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Nguliguli,146,Malugala,,0.0,,1,,4.0,2.0,6.0,110,4,114
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Chugambuli,147,Matale,,1.0,1,,,3.0,2.0,5.0,40,5,45
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Chugambuli,148,Magunga,,0.0,,,,4.0,2.0,6.0,87,4,91
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Mwashegeshi,149,Mwamanonga,,2.7,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Mwashegeshi,150,Ilambamakono,,0.0,,1,,4.0,2.0,6.0,208,5,213
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Nguliguli,Mwabalogi,151,Widundugaja,,1.3,1,,,3.0,2.0,5.0,40,5,45
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Mwang'holo,152,Ndole,,1.4,,1,,4.0,2.0,6.0,110,7,117
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Mwang'holo,153,Kisesa,,3.8,1,,,4.0,3.0,7.0,110,6,116
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Mwamanenge,154,Mwanhindila,,3.2,1,,,3.0,2.0,5.0,133,5,138
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Mwamanenge,155,Ligembe,,0.0,1,,,3.0,2.0,5.0,72,5,77
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Mwamanenge,156,Mwafula,,1.0,1,,,3.0,2.0,5.0,60,2,62
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Iwelimo,157,Iwelimo,,1.7,1,,,4.0,2.0,6.0,80,5,85
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Iwelimo,158,Itogi,,2.2,1,,,2.0,2.0,4.0,27,3,30
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Iwelimo,159,Somanda,,2.0,1,,,3.0,2.0,5.0,70,5,75
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Iwelimo,160,Mabushi,,2.2,1,,,3.0,2.0,5.0,55,4,59
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwamanenge,Iwelimo,161,Mwabasabi,,0.0,1,,,3.0,2.0,5.0,27,4,31
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Kidaganda,162,Kusungu,,2.9,1,,,4.0,2.0,6.0,132,4,136
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Igumangobo,163,Mwabuyunge,,1.2,1,,,3.0,2.0,5.0,62,5,67
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Igumangobo,164,Isebanda,,0.5,1,,,4.0,2.0,6.0,103,4,107
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Somanda,165,Kabale,,2.2,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Mwafumbuka,166,Busagala,,3.0,1,,,4.0,2.0,6.0,154,5,159
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Tamanu,167,Mwabasabi,,1.2,1,,,4.0,2.0,6.0,100,4,104
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Ifungilo,168,Ifungilo,,1.5,1,,,4.0,2.0,6.0,92,4,96
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Ifungilo,169,Ilambolikulu,,3.8,1,,,3.0,2.0,5.0,60,4,64
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Mwabalaturu,170,Mwahamla,,0.0,1,,,3.0,2.0,5.0,50,4,54
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mpindo,Mwabalaturu,171,Mwangongono,,2.9,1,0,,3.0,2.0,5.0,48,4,52
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Senani,Senani,172,Ngongwa,,4.0,1,,,4.0,2.0,6.0,135,4,139
