MKOA WA IRINGA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low voltage Lines (km),,,Initial customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11KV,33KV,50,100,200,4 x 95 sq.mm,4 x 50 sq.mm,LV Total (km),single phase,Three phase,Total
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Mkungugu,188,Kigasi B,,2.2,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Mkungugu,189,Kigasi C,,2.0,1,,,0.8,1.2,2.0,34,2,36
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Ilambilole,190,Kihesa,,1.6,1,,,1.3,1.9,3.2,57,3,60
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Ilambilole,191,Mjimwema,,1.9,1,,,1.6,2.4,4.0,64,3,67
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Ilambilole,192,Chalinze,,2.9,1,,,0.8,1.2,2.0,14,1,15
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Ikengeza,193,Myowela,,0.0,1,,,1.7,2.6,4.3,62,3,65
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Ikengeza,194,Miyomboni A,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Ikengeza,195,Miyomboni B,,0.0,,,,1.1,1.7,2.8,45,2,47
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Ikengeza,196,Manyanambo A,,0.0,,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Ikengeza,197,Manyanambo B,,1.5,,1,,0.9,1.4,2.3,44,2,46
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Ikengeza,198,Mgiha,,6.1,1,,,1.2,1.8,3.0,13,1,14
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mawindi,199,Majengo,,0.0,,,,0.8,1.2,2.0,32,2,34
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mawindi,200,Mjimwema,,0.0,,,,0.8,1.2,2.0,24,1,25
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mawindi,201,Kiona,,0.0,1,,,1.1,1.6,2.7,34,2,36
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mawindi,202,Manyambuma,,2.7,1,,,1.2,1.8,3.0,14,1,15
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Chamndindi,203,Miegamano,,0.0,1,,,1.2,1.8,3.0,57,3,60
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Chamndindi,204,Nyakansilo,,0.0,,,,0.8,1.2,2.0,21,1,22
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Chamndindi,205,Kibaoni,,0.0,,,,0.9,1.3,2.2,30,2,32
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Chamndindi,206,Myowela,,0.0,1,,,1.1,1.6,2.7,44,2,46
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Chamndindi,207,Kipanga,,11.3,1,,,1.2,1.8,3.0,32,2,34
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Isaka,208,Idali,,0.8,1,,,1.2,1.8,3.0,24,1,25
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Nyakavangala,209,Ngega,,3.0,1,,,1.2,1.8,3.0,22,1,23
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mkulula ,210,Mbuyuni,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mkulula ,211,Luganga A,,5.2,1,,,0.8,1.2,2.0,15,1,16
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mkulula ,212,Luganga B,,4.8,1,,,0.9,1.4,2.3,15,1,16
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mkulula ,213,Mpalagaga,,4.7,1,,,1.0,1.5,2.5,48,3,50
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Mkulula ,214,Luhomelo,,,,,,,,,,,
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Makadupa,215,Amani,,3.3,1,,,0.7,1.0,1.7,13,1,14
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Makadupa,216,Sokoine,,3.8,1,,,0.8,1.2,2.0,11,1,12
Iringa,Iringa,Iringa DC,Ismani,Nyang'oro,Usolanga,217,Ihumbiliza B,,0.0,1,,,1.2,1.8,3.0,44,2,46
