MKOA WA RUKWA ,,,,,,,,Scope of works,,,,,,,,,,,TAPPING POINT,ACCESSIBILITY,,,REMAKS
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total,,CAR,M/C,FOOT,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,123,Mwanga,-,0.0,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,124,Lwizi,-,4.2,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,125,Ng'ongo,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,126,Mteteze,-,0.7,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,127,Kifinga,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,128,Kakoa,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,129,Kasisi,-,-,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,130,Mtukula,-,,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,131,Sofwa,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,132,Chanda,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,133,Mundwe,-,-,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,134,Kindumba,-,9.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,135,Matiri,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Zimba,Mission,136,Namwele,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Zimba,Mission,137,Majengo,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Zimba,Mission,138,Maloto,-,1.5,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Muze ,139,Majengo,-,-,1,,,1.4,0.6,2.0,68,2,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Muze ,140,Ukanda wa ziwa A,-,3.5,1,,,1.4,0.6,2.0,68,2,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Muze ,141,Naomba,-,-,1,,,1.4,0.6,2.0,68,2,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Muze ,142,Muze,-,-,1,,,1.4,0.6,2.0,68,2,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Uzia,143,Ilambila,-,-,1,,,1.4,0.6,2.0,68,2,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Uzia,144,Mkanyageni,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Mbwilo,145,Misunkumilo,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Mbwilo,146,Tyula,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Mbwilo,147,Mbwilo kati,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Ilanga,148,Ilanga,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Muze,Ilanga,149,Mtakuja,-,0.0,1,,,1.4,0.6,2.0,60,5,65,,,,,
